OBJECTID,RWCOMPKEY,FROM_ADDRE,TO_ADDRESS,ROADNAME,DIR,STRNAME,TYPE,LOCROSSPR,LOCROSSNA,LOCROSSSU,HICROSSPR,HICROSSNA,HICROSSSU,MUNI_NAME,COUNDIST,OWNER_NAME,CORE_CLASS,ROUTE_LBL,LENGTH,PRIORITY_R,ROUTE_UNIQ,CORRIDOR_N,BEGIN_LOCA,BMP,END_LOCATI,EMP,TOTAL_EPDO,EPDO_MILE,TOTAL_KA_C,KA_MILE,JUSTICE40_,PERCENT_JU,OWNER,SHAPELEN
871,10536,5100,5199,SHEPHERDSVILLE RD, ,SHEPHERDSVILLE,RD, ,ARMSMERE,WAY, ,MANSFIELD,LN,LOUISVILLE,2,STATE,MINOR ARTERIAL,KY-2052,2.908,39,056-KY-2052  -000,Shepherdsville Rd,Fern Valley Rd (KY 1747),1.214,Hikes Lane (KY 2052),4.122,6742,2318.43191197,20,6.87757909,2.908,1,KYTC,627.651408280828
872,20036,4100,4199,S 3RD ST,S,3RD,ST,W,EVELYN,AVE,W,FAIRMONT,AVE,LOUISVILLE,15,METRO,MINOR ARTERIAL, ,2.667,34,056-CS-1013F -000,S 3rd St (CS-1013F),Southern Pkwy (KY 1020),0,W Kenwood Dr (CS-1257F),2.667,6840,2445.4772971,19,6.79299249,2.797,1,METRO,509.846422764983
873,24599,3450,3499,OUTER LOOP, ,OUTER,LOOP, ,I 65 RAMP, , ,BRIARCLIFF,RD,LOUISVILLE,24,STATE,MAJOR ARTERIAL,KY-1065,3.531,42,056-KY-1065  -000,Outer Loop,National Turnpike (KY 1020),2.514,Preston Hwy (KY 61),6.045,7853,2224.01585953,20,5.66411781,3.311,0.9376947,KYTC,713.215266297818
874,21198,2700,2799,NEWBURG RD, ,NEWBURG,RD, ,DUNDEE,RD, ,TARTAN,WAY,LOUISVILLE,10,STATE,MINOR ARTERIAL,KY-1703,2.593,30,056-KY-1703  -000,Newburg Rd,Bluegrass Park Dr (CS-1185G),1.25,Bellarmine Blvd (PS-1084G),3.843,6510.5,2510.79830312,18,6.94176629,1.066,0.41110683,KYTC,281.055467039342
875,20286,2800,2899,W HILL ST,W,HILL,ST,S,28TH,ST, ,CATALPA,ST,LOUISVILLE,1,METRO,PRIMARY COLLECTOR, ,1.034,51,056-CS-1016F -000,W Hill St,S 17th St (CS-1032F),1.527,Wilson Ave (CS-1025F),2.561,2010,1943.90715667,5,4.83558994,1.034,1,METRO,374.152028761789
876,20510,1130,1149,BARDSTOWN RD, ,BARDSTOWN,RD, ,ELLWOOD,AVE, ,PATTERSON,AVE,LOUISVILLE,8,STATE,MAJOR ARTERIAL,US-31E,5.8,16,056-US-0031E -000,Beuchel Byp / Bardstown Rd / Baxter Ave,Hikes Lane (KY 2052),10.974,E Main St (US 31E),16.774,17471,3012.24137931,41,7.1,1.878,0.3237931,KYTC,230.521930532108
877,22377,4000,4025,PRESTON HWY, ,PRESTON,HWY, ,BELMAR,DR, ,SHORT,ST,LOUISVILLE,21,STATE,MAJOR ARTERIAL,KY-61,7.502,9,056-KY-0061  -000,Preston Hwy,Cooper Chapel Rd / Commerce Crossings Dr (KY 6299),1.401,Hart Ave,8.903,25969,3461.61023727,77,10.26392962,4.884,0.65102639,KYTC,373.690404867775
878,31504,8102,8108,ST ANDREWS CHURCH RD, ,ST ANDREWS CHURCH,RD, ,OAKBURN,DR, ,SAND,DR,LOUISVILLE,12,STATE,MINOR ARTERIAL,KY-1931,9.06,24,056-KY-1931  -000,Greenwood Rd / St. Andrews Church Rd / Manslick Rd / 7th Street Rd,Terry Road (KY 1727),1.47,Algonquin Pkwy (KY 2054),10.53,24325,2684.8785872,73,8.05739514,7.024,0.77527594,KYTC,200.903176710845
879,16882,1105,1129,DIXIE HWY, ,DIXIE,HWY, ,GRAND,AVE, ,GALLAGHER,ST,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,2.008,29,056-CS-1030F -000,Dixie Hwy,W Broadway (US 150),0,Bernheim Lane (US 31W),2.008,5174,2576.69322709,13,6.47410359,2.008,1,METRO,277.293254067896
880,19994,3700,3799,7TH STREET RD, ,7TH STREET,RD, ,BERRY,BLVD, ,NOBEL,PL,LOUISVILLE,3,STATE,MAJOR ARTERIAL,US-60A,3.157,4,056-US-0060A -000,7th Street Rd / Berry Blvd / Taylor Blvd / Winkler Ave,Dixie Hwy (US 31W),0,S 3rd St (KY 1020),3.157,13771,4362.05258156,37,11.71998733,3.157,1,KYTC,951.835516383653
881,29620,4776,4799,CANE RUN RD, ,CANE RUN,RD, ,ROCKFORD,LN, ,LEES,LN,LOUISVILLE,1,STATE,MAJOR ARTERIAL,KY-1934,11.502,21,056-KY-1934  -000,Greenbelt Hwy / Cane Run Rd,Gene Snyder Fwy (KY 841),0,Algonquin Pkwy (KY 2054),11.502,31389,2729.00365154,100,8.69414015,9.201,0.79994784,KYTC,292.116131896755
882,22300,4500,4514,CANE RUN RD, ,CANE RUN,RD, ,SHANKS,LN, ,COVENTRY COMMONS,DR,LOUISVILLE,1,STATE,MAJOR ARTERIAL,KY-1934,11.502,21,056-KY-1934  -000,Greenbelt Hwy / Cane Run Rd,Gene Snyder Fwy (KY 841),0,Algonquin Pkwy (KY 2054),11.502,31389,2729.00365154,100,8.69414015,9.201,0.79994784,KYTC,304.459804777248
883,30920,11500,11550,DIXIE HWY, ,DIXIE,HWY, ,KY-841 RAMP, , ,GREENBELT RAMP, ,LOUISVILLE,14,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,536.275540119312
884,15363,1100,1199,W MARKET ST,W,MARKET,ST,S,11TH,ST,S,12TH,ST,LOUISVILLE,4,STATE,MAJOR ARTERIAL,US-31W,1.064,33,056-US-0031W -000,W Market St (US 31W),Dr W J Hodge St,20.292,Roy Wilkins Ave,21.356,6500,2472.42297452,18,6.84670978,2.629,1,KYTC,480.473013192468
885,26336,4300,4324,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,I 264 RAMP, , ,BUNTON,RD,LOUISVILLE,10,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,328.999267548422
886,33925,7756,7799,3RD STREET RD, ,3RD STREET,RD, ,VILLAGE PARK,WAY, ,MCNAIR,RD,LOUISVILLE,25,STATE,MINOR ARTERIAL,KY-907,4.91,50,056-KY-0907  -000,3rd Street Rd (KY 907),E Pages Ln / Highcrest Ave,2.09,National Turnpike (KY 1020),7,13188,2003.64630811,41,6.22910969,4.251,0.64585232,KYTC,318.786491796429
887,22438,4300,4329,S 3RD ST,S,3RD,ST,W,WHITNEY,AVE,W,LANSING,AVE,LOUISVILLE,21,METRO,MINOR ARTERIAL, ,2.667,34,056-CS-1013F -000,S 3rd St (CS-1013F),Southern Pkwy (KY 1020),0,W Kenwood Dr (CS-1257F),2.667,6840,2445.4772971,19,6.79299249,2.797,1,METRO,509.934264336519
888,21624,700,799,W MUHAMMAD ALI BLVD,W,MUHAMMAD ALI,BLVD,S,7TH,ST,S,8TH,ST,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,1.454,22,056-CS-1001A -000,W Muhammad Ali Blvd,S 6th St (CS-1004F),0.455,S 22nd St (US 31W-001),1.909,3943.35,2712.07015131,9,6.18982118,1.454,1,METRO,479.921451211543
889,25957,3450,3499,NEWBURG RD, ,NEWBURG,RD, ,CHAMPIONS TRACE,LN, ,BLUEGRASS PARK,DR,WEST BUECHEL,10,STATE,MINOR ARTERIAL,KY-1703,2.593,30,056-KY-1703  -000,Newburg Rd,Bluegrass Park Dr (CS-1185G),1.25,Bellarmine Blvd (PS-1084G),3.843,6510.5,2510.79830312,18,6.94176629,1.066,0.41110683,KYTC,691.057688077765
890,10027,4000,4499,S HURSTBOURNE PKY,S,HURSTBOURNE,PKY, ,GREENHURST,DR, ,HURSTBOURNE CROSSINGS,DR,LOUISVILLE,26,STATE,MAJOR ARTERIAL,KY-1747,1.064,47,056-KY-1747  -000,S Hurstbourne Pkwy,Watterson Trl (CR-1004H),8.519,Six Mile Ln (CR-1002H),9.583,2196,2063.90977444,5,4.69924812,0,0,KYTC,949.303654223864
891,28503,12300,12399,GREENBELT HWY, ,GREENBELT,HWY, ,BETHANY,LN, ,LOWER RIVER,RD,LOUISVILLE,14,STATE,MAJOR ARTERIAL,KY-1934,11.502,21,056-KY-1934  -000,Greenbelt Hwy / Cane Run Rd,Gene Snyder Fwy (KY 841),0,Algonquin Pkwy (KY 2054),11.502,31389,2729.00365154,100,8.69414015,9.201,0.79994784,KYTC,2238.3814624385
892,16566,1000,1011,S 26TH ST,S,26TH,ST,W,KENTUCKY,ST,W,KENTUCKY,ST,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,1.846,27,056-CS-1038F -000,S 26th St,W Main St (CS-1011A),0,Wilson Ave (CS-1025F),1.846,4784,2591.54929577,10,5.4,1.846,1,METRO,214.757612277772
893,21066,3000,3011,DIXIE HWY, ,DIXIE,HWY, ,ARGONNE,AVE, ,GAREY,LN,SHIVELY,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,347.143434624963
894,19999,3420,3429,PRESTON HWY, ,PRESTON,HWY, ,LARUE,AVE, ,WOLFE,AVE,LOUISVILLE,21,STATE,MAJOR ARTERIAL,KY-61,7.502,9,056-KY-0061  -000,Preston Hwy,Cooper Chapel Rd / Commerce Crossings Dr (KY 6299),1.401,Hart Ave,8.903,25969,3461.61023727,77,10.26392962,4.884,0.65102639,KYTC,349.329737676311
895,21060,2900,2911,DIXIE HWY, ,DIXIE,HWY, ,DUBOURG,AVE, ,LONEY,LN,SHIVELY,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,318.923288082498
896,25969,5048,5059,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,POPLAR LEVEL,CT, ,SHADY VILLA,DR,LOUISVILLE,2,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,386.885809738529
897,23994,5075,5099,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,ROEDERER,DR, ,FREY,DR,LOUISVILLE,2,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,277.655869634939
898,22290,4078,4099,CANE RUN RD, ,CANE RUN,RD, ,I 264 RAMP, , ,RICHELLE,DR,LOUISVILLE,3,STATE,MAJOR ARTERIAL,KY-1934,11.502,21,056-KY-1934  -000,Greenbelt Hwy / Cane Run Rd,Gene Snyder Fwy (KY 841),0,Algonquin Pkwy (KY 2054),11.502,31389,2729.00365154,100,8.69414015,9.201,0.79994784,KYTC,348.463391737568
899,27599,5000,5050,GREENWOOD RD, ,GREENWOOD,RD, ,KENTUCKY,AVE, ,DAISY,AVE,LOUISVILLE,12,STATE,MINOR ARTERIAL,KY-1931,9.06,24,056-KY-1931  -000,Greenwood Rd / St. Andrews Church Rd / Manslick Rd / 7th Street Rd,Terry Road (KY 1727),1.47,Algonquin Pkwy (KY 2054),10.53,24325,2684.8785872,73,8.05739514,7.024,0.77527594,KYTC,481.277118757024
900,8556,10200,10202,WESTPORT RD, ,WESTPORT,RD, ,GRAYSTONE MANOR,PKY, ,WESTPORT GREEN,PL,LOUISVILLE,17,STATE,MINOR ARTERIAL,KY-1447,5.078,18,056-KY-1447  -000,Westport Rd,I-264,1.96,Chamberlain Ln,7.038,14916,2937.37692005,45,8.8617566,0,0,KYTC,121.538297076477
901,18541,1425,1429,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,CLARKS,LN, ,POPLAR LEVEL,PLZ,LOUISVILLE,10,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,220.826357814663
902,29392,13013,13099,DIXIE HWY, ,DIXIE,HWY, ,STARDUST,DR, ,LANDSTAR,DR,LOUISVILLE,14,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,327.922052072838
903,19751,3343,3399,TAYLOR BLVD, ,TAYLOR,BLVD, ,OLEANDA,AVE, ,CLARA,AVE,LOUISVILLE,15,STATE,MAJOR ARTERIAL,US-60A,3.157,4,056-US-0060A -000,7th Street Rd / Berry Blvd / Taylor Blvd / Winkler Ave,Dixie Hwy (US 31W),0,S 3rd St (KY 1020),3.157,13771,4362.05258156,37,11.71998733,3.157,1,KYTC,310.498519325468
904,15061,118,199,S 26TH ST,S,26TH,ST, ,PIRTLE,ST,W,MARKET,ST,LOUISVILLE,5,METRO,MINOR ARTERIAL, ,1.846,27,056-CS-1038F -000,S 26th St,W Main St (CS-1011A),0,Wilson Ave (CS-1025F),1.846,4784,2591.54929577,10,5.4,1.846,1,METRO,203.743440628771
905,29389,13000,13010,DIXIE HWY, ,DIXIE,HWY, ,BRUNER,LN, ,STARDUST,DR,LOUISVILLE,14,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,362.299087248619
906,23913,5060,5069,POPLAR LEVEL RD, ,POPLAR LEVEL,RD, ,SHADY VILLA,DR, ,HANSES,DR,LOUISVILLE,2,STATE,MAJOR ARTERIAL,KY-864,7.117,41,056-KY-0864  -000,Poplar Level Rd,Fern Valley Rd (KY 1747),6.596,Eastern Pkwy (US 60A),13.713,16064,2257.13081355,44,6.18238022,4.725,0.66390333,KYTC,467.065497638615
907,16181,525,599,S 2ND ST,S,2ND,ST, ,GUTHRIE,ST,W,CHESTNUT,ST,LOUISVILLE,4,STATE,MAJOR ARTERIAL,KY-1020,0.6271,11,056-KY-1020  -000,S 2nd St,W Broadway (US 150),12.097,W Market St (US 31E/31W),12.7241,2102,3351.93749003,4,6.37856801,0.6271,1,KYTC,407.821216898886
908,15091,2400,2499,W MARKET ST,W,MARKET,ST,S,24TH,ST,S,25TH,ST,LOUISVILLE,5,METRO,MINOR ARTERIAL, ,1.565,33,056-CS-1006A -000,W Market St (CS-1006A),S 22nd St (US 31W-001),0,S 40th St (CS-1043F),1.565,6500,2472.42297452,18,6.84670978,2.629,1,METRO,379.250441671216
909,15111,200,214,S 26TH ST,S,26TH,ST,W,MARKET,ST, ,CONGRESS,ST,LOUISVILLE,5,METRO,MINOR ARTERIAL, ,1.846,27,056-CS-1038F -000,S 26th St,W Main St (CS-1011A),0,Wilson Ave (CS-1025F),1.846,4784,2591.54929577,10,5.4,1.846,1,METRO,229.794198861911
910,24294,7324,7399,SOUTHSIDE DR, ,SOUTHSIDE,DR, ,LILLIAN,WAY, ,NEW CUT,RD,LOUISVILLE,25,STATE,MINOR ARTERIAL,KY-907,4.91,50,056-KY-0907  -000,3rd Street Rd (KY 907),E Pages Ln / Highcrest Ave,2.09,National Turnpike (KY 1020),7,13188,2003.64630811,41,6.22910969,4.251,0.64585232,KYTC,822.939239125848
911,25283,9200,9399,PRESTON HWY, ,PRESTON,HWY,E,MANSLICK,RD, ,BOERSTE,WAY,LOUISVILLE,24,STATE,MAJOR ARTERIAL,KY-61,7.502,9,056-KY-0061  -000,Preston Hwy,Cooper Chapel Rd / Commerce Crossings Dr (KY 6299),1.401,Hart Ave,8.903,25969,3461.61023727,77,10.26392962,4.884,0.65102639,KYTC,1536.6157324987
912,20354,828,899,E BROADWAY,E,BROADWAY, , ,LOGAN,ST,S,CAMPBELL,ST,LOUISVILLE,4,STATE,MAJOR ARTERIAL,US-150,3.3535,1,056-US-0150  -000,Broadway,S 22nd St (US 31W-001),0.7405,Baxter Ave (US 31E),4.094,19419.4,5792,48,14.30913698,3.353,1,KYTC,204.102652311204
913,23915,6100,6199,PRESTON HWY, ,PRESTON,HWY, ,LACLEDE,LN, ,FOREST,DR,LOUISVILLE,2,STATE,MAJOR ARTERIAL,KY-61,7.502,9,056-KY-0061  -000,Preston Hwy,Cooper Chapel Rd / Commerce Crossings Dr (KY 6299),1.401,Hart Ave,8.903,25969,3461.61023727,77,10.26392962,4.884,0.65102639,KYTC,394.212202005171
914,18365,2100,2109,DIXIE HWY, ,DIXIE,HWY, ,BERNHEIM,LN, ,OREGON,AVE,LOUISVILLE,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,150.074501752777
915,25197,8700,8799,3RD STREET RD, ,3RD STREET,RD, ,WINDSOR PARK,DR, ,LAKERIDGE,DR,LOUISVILLE,25,STATE,MINOR ARTERIAL,KY-907,4.91,50,056-KY-0907  -000,3rd Street Rd (KY 907),E Pages Ln / Highcrest Ave,2.09,National Turnpike (KY 1020),7,13188,2003.64630811,41,6.22910969,4.251,0.64585232,KYTC,1561.74111179198
916,21548,980,999,W MARKET ST,W,MARKET,ST, ,I 64 RAMP, ,S,10TH,ST,LOUISVILLE,4,STATE,MAJOR ARTERIAL,US-31W,1.064,33,056-US-0031W -000,W Market St (US 31W),Dr W J Hodge St,20.292,Roy Wilkins Ave,21.356,6500,2472.42297452,18,6.84670978,2.629,1,KYTC,144.759394260139
917,14559,431,435,N 22ND ST,N,22ND,ST, ,ST XAVIER,ST, ,GILLIGAN,ST,LOUISVILLE,5,STATE,MAJOR ARTERIAL,US-150,0.741,15,056-US-0150  -000,N 22nd St,Northwestern Pkwy,0,W Main St (US 31W-001),0.741,2292,3093.11740891,6,8.09716599,0.49,0.66126856,KYTC,248.792874981327
918,5362,2500,2512,HIKES LN, ,HIKES,LN, ,CHEVY CHASE,RD, ,DOWNING,WAY,LOUISVILLE,26,METRO,MINOR ARTERIAL, ,2.399,36,056-CR-1002G -000,Hikes Lane,Buechel Byp (US 31E),0.797,Taylorsville Rd (KY 155),3.196,5776,2407.66986244,15,6.25260525,0.191,0.07961651,METRO,431.672637538189
919,23449,5012,5099,SOUTHSIDE DR, ,SOUTHSIDE,DR, ,COLONIAL OAKS,CT,W,KINGSTON,AVE,LOUISVILLE,21,STATE,MINOR ARTERIAL,KY-1020,1.672,50,056-KY-1020  -000,Southside Dr (KY 907/1020),National Turnpike (KY 1020),5.7,W Tenny Ave (KY 1020),7.372,13188,2003.64630811,41,6.22910969,4.251,0.64585232,KYTC,239.135226830237
920,17985,100,118,W HILL ST,W,HILL,ST,S,1ST,ST, ,TIN PAN,ALY,LOUISVILLE,6,METRO,MINOR ARTERIAL, ,0.662,25,056-CS-1016F -000,W Hill St (CS-1016F),S 1st St (CS-1002F),0,S 7th St (CS-1011F),0.662,2714,2658.17825661,6,5.87659158,1.021,1,METRO,239.854247985016
921,20570,1295,1299,BARDSTOWN RD, ,BARDSTOWN,RD, ,LONGEST,AVE, ,ROSEWOOD,AVE,LOUISVILLE,8,STATE,MAJOR ARTERIAL,US-31E,5.8,16,056-US-0031E -000,Beuchel Byp / Bardstown Rd / Baxter Ave,Hikes Lane (KY 2052),10.974,E Main St (US 31E),16.774,17471,3012.24137931,41,7.1,1.878,0.3237931,KYTC,101.699938727534
922,14446,2437,2235,BANK ST, ,BANK,ST,N,24TH,ST,N,24TH,ST,LOUISVILLE,5,STATE,MINOR ARTERIAL,KY-3082,0.822,52,056-KY-3082  -000,Bank St,N 30th St (CS-1054A),0.716,N 22nd St (US 150),1.538,1575,1916.05839416,5,6.08272506,0.822,1,KYTC,492.639399688048
923,27595,5051,5099,GREENWOOD RD, ,GREENWOOD,RD, ,DAISY,AVE, ,NANCY,LN,LOUISVILLE,14,STATE,MINOR ARTERIAL,KY-1931,9.06,24,056-KY-1931  -000,Greenwood Rd / St. Andrews Church Rd / Manslick Rd / 7th Street Rd,Terry Road (KY 1727),1.47,Algonquin Pkwy (KY 2054),10.53,24325,2684.8785872,73,8.05739514,7.024,0.77527594,KYTC,114.834300543217
924,23655,5706,5799,SOUTHSIDE DR, ,SOUTHSIDE,DR, ,ORDNANCE,DR, ,INVERNESS,AVE,LOUISVILLE,25,STATE,MINOR ARTERIAL,KY-1020,1.672,50,056-KY-1020  -000,Southside Dr (KY 907/1020),National Turnpike (KY 1020),5.7,W Tenny Ave (KY 1020),7.372,13188,2003.64630811,41,6.22910969,4.251,0.64585232,KYTC,155.152983475182
925,9343,3900,3940,SHELBYVILLE RD, ,SHELBYVILLE,RD, ,CHENOWETH,LN, ,MERIDIAN,AVE,ST MATTHEWS,9,STATE,MAJOR ARTERIAL,US-60,0.638,6,056-US-0060  -000,Shelbyville Rd,Lexington Rd (US 60A),3.482,Thierman Ln (CS-1098B),4.12,2413,3782.13166144,7,10.97178683,0,0,KYTC,579.363006470848
926,16293,900,999,W BROADWAY,W,BROADWAY, , ,ROY WILKINS,AVE,S,10TH,ST,LOUISVILLE,4,STATE,MAJOR ARTERIAL,US-150,3.3535,1,056-US-0150  -000,Broadway,S 22nd St (US 31W-001),0.7405,Baxter Ave (US 31E),4.094,19419.4,5792,48,14.30913698,3.353,1,KYTC,527.700630889536
927,9348,4050,4074,SHELBYVILLE RD, ,SHELBYVILLE,RD,S,SHERRIN,AVE, ,RIDGEWAY,AVE,ST MATTHEWS,9,STATE,MAJOR ARTERIAL,US-60,0.638,6,056-US-0060  -000,Shelbyville Rd,Lexington Rd (US 60A),3.482,Thierman Ln (CS-1098B),4.12,2413,3782.13166144,7,10.97178683,0,0,KYTC,76.5458799970797
928,24568,3000,3099,OUTER LOOP, ,OUTER,LOOP, ,I 65 RAMP, , ,I 65 RAMP, ,LOUISVILLE,13,STATE,MAJOR ARTERIAL,KY-1065,3.531,42,056-KY-1065  -000,Outer Loop,National Turnpike (KY 1020),2.514,Preston Hwy (KY 61),6.045,7853,2224.01585953,20,5.66411781,3.311,0.9376947,KYTC,563.543256353341
929,9345,4000,4006,SHELBYVILLE RD, ,SHELBYVILLE,RD, ,ST MATTHEWS,AVE, ,FAIRFAX,AVE,ST MATTHEWS,9,STATE,MAJOR ARTERIAL,US-60,0.638,6,056-US-0060  -000,Shelbyville Rd,Lexington Rd (US 60A),3.482,Thierman Ln (CS-1098B),4.12,2413,3782.13166144,7,10.97178683,0,0,KYTC,333.912045164966
930,26364,2300,2499,FERN VALLEY RD, ,FERN VALLEY,RD, ,I 65 RAMP, , ,I 65 RAMP, ,LOUISVILLE,21,STATE,MINOR ARTERIAL,KY-1747,4.046,26,056-KY-1747  -000,Fern Valley Rd,Grade Ln (CR-1001G),0,Shepherdsville Rd (KY 2052),4.046,10717,2648.78892734,29,7.16757291,3.47,0.85763717,KYTC,563.108985396367
931,15781,234,200,E JEFFERSON ST,E,JEFFERSON,ST, ,NO STREET NAME, , ,I 65 RAMP, ,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,1.05,43,056-CS-1014B -000,E Jefferson St,Baxter Ave (US 31E),0,S 1st St (CS-1002F),1.05,2331,2220,6,5.71428571,1.05,1,METRO,336.819394476211
932,4922,2910,2924,HIKES LN, ,HIKES,LN, ,BRIARBRIDGE,LN, ,NOE,WAY,LOUISVILLE,26,METRO,MINOR ARTERIAL, ,2.399,36,056-CR-1002G -000,Hikes Lane,Buechel Byp (US 31E),0.797,Taylorsville Rd (KY 155),3.196,5776,2407.66986244,15,6.25260525,0.191,0.07961651,METRO,271.512693391778
933,18327,2000,2099,DIXIE HWY, ,DIXIE,HWY, ,DIXDALE,AVE, ,BERNHEIM,LN,LOUISVILLE,3,METRO,MINOR ARTERIAL, ,2.008,29,056-CS-1030F -000,Dixie Hwy,W Broadway (US 150),0,Bernheim Lane (US 31W),2.008,5174,2576.69322709,13,6.47410359,2.008,1,METRO,289.899069640332
934,15192,1200,1299,W MAIN ST,W,MAIN,ST,S,12TH,ST,S,13TH,ST,LOUISVILLE,4,STATE,MAJOR ARTERIAL,US-31W,1.751,45,056-US-0031W -001,W Main St,N 22nd St (US 150),20.345,S 2nd St (US 31),22.096,3743,2137.63563678,10,5.71102227,1.751,1,KYTC,480.624499521924
935,23643,5700,6099,S 3RD ST,S,3RD,ST, ,GHEENS,AVE, ,INVERNESS,AVE,LOUISVILLE,21,METRO,PRIMARY COLLECTOR, ,2.667,34,056-CS-1013F -000,S 3rd St (CS-1013F),Southern Pkwy (KY 1020),0,W Kenwood Dr (CS-1257F),2.667,6840,2445.4772971,19,6.79299249,2.797,1,METRO,341.574138247068
936,17748,1600,1601,DIXIE HWY, ,DIXIE,HWY,W,GAULBERT,AVE,W,GAULBERT,AVE,LOUISVILLE,6,METRO,MINOR ARTERIAL, ,2.008,29,056-CS-1030F -000,Dixie Hwy,W Broadway (US 150),0,Bernheim Lane (US 31W),2.008,5174,2576.69322709,13,6.47410359,2.008,1,METRO,55.3202678161449
937,17434,1400,1439,S 22ND ST,S,22ND,ST, ,WOODLAND,AVE, ,STANDARD,AVE,LOUISVILLE,6,STATE,MAJOR ARTERIAL,US-31W,1.145,8,056-US-0031W -000,S 22nd St / Bernheim Ln,Dixie Hwy (CS-1030F),17.51,Dumesnil St (CS-1010F),18.655,4100,3580.7860262,11,9.6069869,1.145,1,KYTC,508.433246572041
938,18203,1700,1749,ALGONQUIN PKY, ,ALGONQUIN,PKY, ,MCCLOSKEY,AVE, ,DE SOTO,TER,LOUISVILLE,3,STATE,MAJOR ARTERIAL,KY-2054,1.762,13,056-KY-2054  -000,Algonquin Pkwy,S 22nd St (US 31W),1.504,Winkler Ave (US 60A),3.266,5638.85,3200.2553916,15,8.51305335,1.762,1,KYTC,246.390101645871
939,19864,3343,3344,PRESTON HWY, ,PRESTON,HWY, ,UNION,AVE, ,MANNING,RD,LOUISVILLE,21,STATE,MAJOR ARTERIAL,KY-61,7.502,9,056-KY-0061  -000,Preston Hwy,Cooper Chapel Rd / Commerce Crossings Dr (KY 6299),1.401,Hart Ave,8.903,25969,3461.61023727,77,10.26392962,4.884,0.65102639,KYTC,70.0509022515057
940,14318,2933,2900,BANK ST, ,BANK,ST,N,29TH,ST, ,BANK,CT,LOUISVILLE,5,STATE,MINOR ARTERIAL,KY-3082,0.822,52,056-KY-3082  -000,Bank St,N 30th St (CS-1054A),0.716,N 22nd St (US 150),1.538,1575,1916.05839416,5,6.08272506,0.822,1,KYTC,410.590418785593
941,16811,1100,1115,S 26TH ST,S,26TH,ST, ,GRAND,AVE, ,OSAGE,AVE,LOUISVILLE,1,METRO,MINOR ARTERIAL, ,1.846,27,056-CS-1038F -000,S 26th St,W Main St (CS-1011A),0,Wilson Ave (CS-1025F),1.846,4784,2591.54929577,10,5.4,1.846,1,METRO,235.229851358862
