OBJECTID,RWCOMPKEY,FROM_ADDRE,TO_ADDRESS,ROADNAME,DIR,STRNAME,TYPE,LOCROSSPR,LOCROSSNA,LOCROSSSU,HICROSSPR,HICROSSNA,HICROSSSU,MUNI_NAME,COUNDIST,OWNER_NAME,CORE_CLASS,ROUTE_LBL,LENGTH,PRIORITY_R,ROUTE_UNIQ,CORRIDOR_N,BEGIN_LOCA,BMP,END_LOCATI,EMP,TOTAL_EPDO,EPDO_MILE,TOTAL_KA_C,KA_MILE,JUSTICE40_,PERCENT_JU,OWNER,SHAPELEN
293,27012,4720,4729,DIXIE HWY, ,DIXIE,HWY, ,STALLINGS,AVE, ,ROCKFORD,LN,SHIVELY,3,STATE,MAJOR ARTERIAL,US-31W,14.536,10,056-US-0031W -000,Dixie Hwy,Depot Lane,2.974,Bernheim Ln (US 31W),17.51,49906,3433,150,10.3,12.626,0.86860209,KYTC,198.233369613002
294,18434,2700,2701,BARDSTOWN RD, ,BARDSTOWN,RD, ,EASTVIEW,AVE, ,EASTVIEW,AVE,LOUISVILLE,8,STATE,MAJOR ARTERIAL,US-31E,5.8,16,056-US-0031E -000,Beuchel Byp / Bardstown Rd / Baxter Ave,Hikes Lane (KY 2052),10.974,E Main St (US 31E),16.774,17471,3012.24137931,41,7.1,1.878,0.3237931,KYTC,40.0597451087174
295,17666,1710,1718,BARDSTOWN RD, ,BARDSTOWN,RD, ,MURRAY,AVE, ,DEERWOOD,AVE,LOUISVILLE,8,STATE,MAJOR ARTERIAL,US-31E,5.8,16,056-US-0031E -000,Beuchel Byp / Bardstown Rd / Baxter Ave,Hikes Lane (KY 2052),10.974,E Main St (US 31E),16.774,17471,3012.24137931,41,7.1,1.878,0.3237931,KYTC,168.396717118186
296,21534,600,699,W MAIN ST,W,MAIN,ST,N,6TH,ST,S,7TH,ST,LOUISVILLE,4,STATE,MAJOR ARTERIAL,US-31W,1.751,45,056-US-0031W -001,W Main St,N 22nd St (US 150),20.345,S 2nd St (US 31),22.096,3743,2137.63563678,10,5.71102227,1.751,1,KYTC,479.309740533006
297,20057,3800,3899,7TH STREET RD, ,7TH STREET,RD, ,NOBEL,PL, ,LEROY,AVE,SHIVELY,3,STATE,MAJOR ARTERIAL,US-60A,3.157,4,056-US-0060A -000,7th Street Rd / Berry Blvd / Taylor Blvd / Winkler Ave,Dixie Hwy (US 31W),0,S 3rd St (KY 1020),3.157,13771,4362.05258156,37,11.71998733,3.157,1,KYTC,601.725463257947
298,14528,436,499,N 22ND ST,N,22ND,ST, ,GILLIGAN,ST, ,BANK,ST,LOUISVILLE,5,STATE,MAJOR ARTERIAL,US-150,0.741,15,056-US-0150  -000,N 22nd St,Northwestern Pkwy,0,W Main St (US 31W-001),0.741,2292,3093.11740891,6,8.09716599,0.49,0.66126856,KYTC,207.452436327722
299,16498,900,974,S 26TH ST,S,26TH,ST, ,GARLAND,AVE, ,DATE,ST,LOUISVILLE,4,METRO,MINOR ARTERIAL, ,1.846,27,056-CS-1038F -000,S 26th St,W Main St (CS-1011A),0,Wilson Ave (CS-1025F),1.846,4784,2591.54929577,10,5.4,1.846,1,METRO,367.219434781508
300,20065,2130,2199,CRUMS LN, ,CRUMS,LN, ,GLENHURST,AVE, ,JANELL,RD,SHIVELY,3,STATE,MINOR ARTERIAL,KY-2049,1.102,12,056-KY-2049  -000,Crums Lane,Cheviot Drive (CS-1476F),0.618,Dixie Hwy (US 31W),1.72,3658,3319.41923775,11,9.98185118,1.102,1,KYTC,219.490196339296
301,9379,8500,8699,SHELBYVILLE RD, ,SHELBYVILLE,RD, ,WOOD,RD, ,SHAFTESBURY,DR,LOUISVILLE,18,STATE,MAJOR ARTERIAL,US-60,1.413,53,056-US-0060  -000,Shelbyville Rd,Whipps Mill Rd (CS-1005C),6.435,Hurstbourne Pkwy (KY 1747),7.848,2682,1898.08917197,8,5.66171267,0,0,KYTC,855.420766381216
302,8425,1300,1399,S HURSTBOURNE PKY,S,HURSTBOURNE,PKY, ,BLAIRWOOD,RD, ,BLAIRWOOD ACCESS,WAY,JEFFERSONTOWN,18,STATE,MAJOR ARTERIAL,KY-1747,1.476,19,056-KY-1747  -000,S Hurstbourne Pkwy,Taylorsville Rd (KY 155),10.991,Linn Station Rd (CS-1004H),12.467,4274,2895.66395664,7,4.74254743,0,0,KYTC,605.803649617075
