X,Y,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREET,OWNER2,ROUTE,MILEPOINT,DESCRIPTION,TIMES,OWNER,TYPE,INTID,ATMSID
1174378.0,223673.46875,834,MPW000622,SIG000622,ASHBY,BARRETT,S, US-31W,8.27,ASHBY @ BARRETT,24 HOURS,KYTC,1, 2310201870396,
1179718.75,238536.21875,835,MPW001254,SIG001254,GREENWOOD,SKY BLUE,S,KY-1931,2.45,GREENWOOD @ SKY BLUE,24 HOURS,KYTC,1, 2350426536012,
1174379.70874999,249764.536249995,836,MPW000624,SIG000624,GREENBELT,RAGGARD,S,KY-1934,6.617,GREENBELT @ RAGGARD,24 HOURS,KYTC,1, 275218324E664,
1191901.25,270495.875,837,MPW002673,SIG002673,LOUIS COLEMAN JR,SOUTHERN,M,,,LOUIS COLEMAN JR @ SOUTHERN,24 HOURS,METRO,1,28192E9856282,
1274751.3275,273760.418750003,838,MPW018009,SIG018009,WOODED FALLS,OLD SHELBYVILLE,S,US-60,10.92,WOODED FALLS @ OLD SHELBYVILLE,24 HOURS,KYTC,1,   31628954763,
1274460.745,289503.377499998,839,MPW018007,SIG018007,WYNMEADE,WINCHESTER ACRES,M,,,WYNMEADE @ WINCHESTER ACRES,24 HOURS,METRO,1,  1062D572D638,
1215018.125,273001.4375,840,MPW006842,SIG006842,BARRET,BRECKINRIDGE,M,,,BARRET @ BRECKINRIDGE,24 HOURS,METRO,1, 1512803950657,
1220595.875,269442.75,841,MPW007475,SIG007475,EASTERN,NORRIS,S,US-60,6.677,EASTERN @ NORRIS,24 HOURS,KYTC,1, 1518218354591,
1222292.75,277740.25,842,MPW007685,SIG007685,CLIFTON,FRANKFORT,S,US-60,0.778,CLIFTON @ FRANKFORT,24 HOURS,KYTC,1, 1520111852323,
1221431.875,257947.96875,843,MPW007603,SIG007603,POPLAR LEVEL,TAYLOR,S,KY-864,11.568,POPLAR LEVEL @ TAYLOR,24 HOURS,KYTC,1, 1541351236391,
1213629.25,277138.375,844,MPW006655,SIG006655,CAMPBELL,JEFFERSON,M,,,CAMPBELL @ JEFFERSON,24 HOURS,METRO,1, 1553209243326,
1204396.75,275660.625,845,MPW005145,SIG005145,BROADWAY,10TH,S,US 150,1.83,BROADWAY @ 10TH,24 HOURS,KYTC,1, 1554907026413,
1205910.5,276030.6875,846,MPW005494,SIG005494,MAGAZINE,7TH,M,,,MAGAZINE @ 7TH,24 HOURS,METRO,1, 1555441285899,
1208201.0,275136.376249999,847,MPW005836,SIG005836,BROADWAY,2ND,S,US 150,2.559,BROADWAY @ 2ND,24 HOURS,KYTC,1, 1556307025872,
1210293.0,262947.6875,848,MPW006139,SIG006139,BRADLEY,EASTERN,S,US-60,4.281,BRADLEY @ EASTERN,24 HOURS,KYTC,1, 1574506371835,
1206289.75,265958.875,849,MPW005559,SIG005559,CARDINAL,3RD,S,KY-1020,10.323,CARDINAL @ 3RD,24 HOURS,KYTC,1, 1576533446438,
1206688.5,265898.0,850,MPW005626,SIG005626,CARDINAL,2ND,S,KY-1020,10.32,CARDINAL @ 2ND,24 HOURS,KYTC,1, 1576633445872,
1193124.5,256693.4375,851,MPW002839,SIG002839,DIXIE,PARK,S, US-31W,15.55,DIXIE @ PARK,24 HOURS,KYTC,1, 1580316124965,
1219909.25,271428.0625,852,MPW007380,SIG007380,CHEROKEE,LONGEST,M,,,CHEROKEE @ LONGEST,24 HOURS,METRO,1, 1606011003932,
1210102.25125,273243.875,853,MPW006117,SIG006117,BRECKINRIDGE,PRESTON,S,KY-61,12.05,BRECKINRIDGE @ PRESTON,24 HOURS,KYTC,1, 1628806575143,
1208741.125,272350.625,854,MPW005905,SIG005905,BROOK,KENTUCKY,M,,,BROOK @ KENTUCKY,24 HOURS,METRO,1, 1633507073531,
1212552.625,277821.3125,855,MPW006506,SIG006506,CLAY,MARKET,S,US 31W,17.047,CLAY @ MARKET,24 HOURS,KYTC,1, 1638411674213,
1210742.5,277586.126249999,856,MPW006201,SIG006201,JEFFERSON,PRESTON,S,KY-61,12.885,JEFFERSON @ PRESTON,24 HOURS,KYTC,1, 1638733265143,
1212323.5,276337.375,857,MPW006468,SIG006468,CLAY,MUHAMMAD ALI,M,,,CLAY @ MUHAMMAD ALI,24 HOURS,METRO,1, 1641511677011,
